Source_File,Headword,Tag,Ending,Count,Percent
ShipT_gui_complete.csv,mouen,v%pt_1,-te,1,100.00%
ShipT_gui_complete.csv,listen,v%pr_3,-t,7,100.00%
ShipT_gui_complete.csv,herkenen,v%imp,-eth,1,100.00%
ShipT_gui_complete.csv,drauen,v%prp,-e,1,100.00%
ShipT_gui_complete.csv,aqueinten,v%ppl,-ed,1,100.00%
ShipT_gui_complete.csv,seien,v%pr_pl,other,1,100.00%
ShipT_gui_complete.csv,seien,v%ppl,-d,1,100.00%
ShipT_gui_complete.csv,seien,v%pt_3,-de,2,100.00%
ShipT_gui_complete.csv,seien,v%pr_1,-e,1,100.00%
ShipT_gui_complete.csv,knitten,v%ppl,-t,1,100.00%
ShipT_gui_complete.csv,don,v%inf,-n,5,100.00%
ShipT_gui_complete.csv,don,v%pr_1,vowel,1,100.00%
ShipT_gui_complete.csv,don,v%ppl,-n,1,100.00%
ShipT_gui_complete.csv,don,v%pr_pl,-n,1,100.00%
ShipT_gui_complete.csv,don,v%imp,vowel,1,100.00%
ShipT_gui_complete.csv,foryeten,v%pt_3,-t,1,100.00%
ShipT_gui_complete.csv,yeven,v%inf,-e,1,100.00%
ShipT_gui_complete.csv,yeven,v%pt_3,other,2,100.00%
ShipT_gui_complete.csv,comen,v%pt_3,other,2,100.00%
ShipT_gui_complete.csv,comen,v%inf,-e,1,100.00%
ShipT_gui_complete.csv,comen,v%imp,other,1,100.00%
